date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-02-19 10:00:00,-7.033333333333334,77.98750000000003,6.6433333333333335,23.33333333333333,125.5,43.0,112.0
2018-02-19 11:00:00,-7.061538461538461,79.47846153846154,5.815384615384616,18.46153846153846,117.0,9.0,112.5
2018-02-19 12:00:00,-7.061538461538462,82.57461538461537,5.8946153846153875,13.846153846153848,109.0,9.0,104.0
2018-02-19 13:00:00,-6.736363636363635,83.97636363636364,6.125454545454545,22.72727272727273,191.5,19.0,181.0
2018-02-19 14:00:00,-6.023076923076923,83.91230769230769,6.767692307692308,25.384615384615394,213.0,28.5,197.0
2018-02-19 15:00:00,-6.025,85.375,6.258333333333333,29.16666666666667,144.5,6.0,141.5
2018-02-19 16:00:00,-6.027272727272727,83.82,5.703636363636364,26.363636363636363,121.5,14.5,116.5
2018-02-19 17:00:00,-6.746153846153848,84.27615384615386,6.9253846153846155,29.23076923076923,80.0,7.0,78.0
2018-02-19 18:00:00,-7.0200000000000005,85.24066666666666,5.59,16.666666666666668,19.0,0.0,19.0
2018-02-19 19:00:00,-7.016666666666668,85.47666666666669,6.215833333333332,17.5,0.0,0.0,0.0
2018-02-19 20:00:00,-7.046153846153848,85.27615384615386,6.370769230769231,23.07692307692308,0.0,0.0,0.0
2018-02-19 21:00:00,-7.716666666666666,90.05083333333334,5.656666666666666,25.83333333333333,0.0,0.0,0.0
2018-02-19 22:00:00,-7.9818181818181815,92.09454545454548,4.91090909090909,25.45454545454545,0.0,0.0,0.0
2018-02-19 23:00:00,-7.5636363636363635,89.22454545454546,4.07,31.818181818181817,0.0,0.0,0.0
2018-02-20 00:00:00,-7.054545454545454,85.52636363636366,3.7427272727272736,34.54545454545455,0.0,0.0,0.0
2018-02-20 01:00:00,-6.990909090909091,85.65545454545456,3.0872727272727274,35.45454545454545,0.0,0.0,0.0
2018-02-20 02:00:00,-6.945454545454546,87.61999999999998,3.1809090909090902,30.0,0.0,0.0,0.0
2018-02-20 03:00:00,-7.0200000000000005,92.47599999999996,3.397,90.0,0.0,0.0,0.0
2018-02-20 04:00:00,-6.935714285714287,90.65357142857141,2.2407142857142857,262.14285714285717,0.0,0.0,0.0
2018-02-20 05:00:00,-6.957142857142857,86.89571428571428,3.5285714285714285,324.2857142857143,0.0,0.0,0.0
2018-02-20 06:00:00,-6.9625,85.42750000000002,3.53875,302.5,0.0,0.0,0.0
2018-02-20 07:00:00,-7.015384615384615,85.48538461538463,2.96923076923077,260.0,0.0,0.0,0.0
2018-02-20 08:00:00,-7.0181818181818185,83.9318181818182,3.4145454545454546,325.45454545454544,19.0,57.0,15.5
2018-02-20 09:00:00,-7.671428571428572,80.245,4.372857142857144,318.57142857142856,102.5,192.5,70.5
2018-02-20 10:00:00,-8.990909090909092,82.8409090909091,5.097272727272727,305.45454545454544,286.0,515.5,114.0
2018-02-20 11:00:00,-8.608333333333333,82.27916666666668,3.9891666666666654,300.0,386.5,541.5,138.0
2018-02-20 12:00:00,-7.9818181818181815,74.01454545454546,5.329090909090909,284.54545454545456,493.5,668.5,140.0
2018-02-20 13:00:00,-7.983333333333332,72.66083333333334,5.2283333333333335,285.0,452.5,431.0,211.5
2018-02-20 14:00:00,-7.1000000000000005,67.43249999999999,5.745,290.8333333333333,386.5,295.5,226.0
2018-02-20 15:00:00,-6.9700000000000015,63.18600000000001,6.482000000000001,276.0,413.0,555.0,143.0
2018-02-20 16:00:00,-6.95,61.90416666666666,6.173333333333333,287.5,353.0,693.0,86.5
2018-02-20 17:00:00,-7.0181818181818185,61.68545454545454,6.969090909090909,275.45454545454544,190.0,501.5,65.5
2018-02-20 18:00:00,-8.211111111111112,62.78666666666667,6.687777777777778,281.1111111111111,56.5,277.0,28.5
2018-02-20 19:00:00,-9.2,63.728,5.143,277.0,0.0,0.0,0.0
2018-02-20 20:00:00,-10.61,64.96800000000002,5.606,275.0,0.0,0.0,0.0
2018-02-20 21:00:00,-11.745454545454544,66.81818181818181,5.657272727272727,280.0,0.0,0.0,0.0
2018-02-20 22:00:00,-12.70909090909091,67.11272727272727,5.75090909090909,288.1818181818182,0.0,0.0,0.0
2018-02-20 23:00:00,-13.02727272727273,66.23363636363636,5.938181818181818,291.8181818181818,0.0,0.0,0.0
2018-02-21 00:00:00,-13.325,67.65500000000002,4.6308333333333325,291.6666666666667,0.0,0.0,0.0
